정규주소,우편번호,도서산간
"경기 시흥시 월곶중앙로 48 월곶동, 유호아파트 1층 일평양품해장국",14966,
"경기도 성남시 중원구 갈마치로 302 (상대원동, 성남우림라이온스밸리5차) A동 지하2층 B208호 농업회사법인(주)더초원",13201,
경기도 안산시 상록구 한양대학로 28 안산시 상륙구 한양대학로 28 2층 ( 사동 ),15578,
경기도 안양시 만안구 안양로291번길 34 (중앙시장) 장내동 도가니(중앙시장8번출구 화장실 옆 식당),14001,
"경기도 화성시 동탄중심상가2길 11 (반송동, 삼성파크뷰) 1층 107호 더맛구이구이쪽갈비",18453,
대구 남구 중앙대로 186 2층 백년식당,42425,
대구 중구 달구벌대로 2161 삼덕동2가 2층 테이스티커피,41940,
대전 중구 태평로14번길 11 1층,34891,
서울 광진구 능동로 143 화양동 2층궁중보쌈,05011,
"서울특별시 중구 새문안로 30 (충정로1가, 삼성화재) 1층 정동추어탕",04516,
"서울특별시 중랑구 용마산로 228 (면목동, 도시개발아파트) 상가 면목떡집",02257,
전라남도 고흥군 도양읍 남촌길 4-6 (일반음식점) 민물회관,59555,
"경상남도 김해시 진영읍 장등로 91 (진영읍, 중흥에스클래스1단지아파트상가) 106호 카페봄봄",50862,
서울 중구 다산로 263-1 1층 샐러드박스 신당역점,04569,
